title,visited
50 years in filesystems: 1984 BSD FFS (koehntopp.info),1
90% of Kidnappings in São Paulo result from dates on Tinder and similar apps (restofworld.org),1
A Cold War mystery: Why did Jimmy Carter save the space shuttle? (arstechnica.com),0
A Microscopic Look at Snail Jaws (nhm.org),0
A New Beginning for LifeHacker (lifehacker.com),1
A TLS 1.3 stack written in Visual Basic 6 (github.com/wqweto),0
A URL shortener not shortening the URL but makes it look very dodgy (github.com/defaultnamehere),1
A bacterial culprit for rheumatoid arthritis? (the-scientist.com),0
"A broken man's homemade, seaworthy ship rests in the Canadian prairie (2015) (atlasobscura.com)",0
A collection of lock-free data structures written in standard C++11 (github.com/dnedic),0
"A medieval comedy act has been discovered in first-ever find, researcher says (vice.com)",0
A mystery person who spies on theme parks from the sky (boingboing.net),0
AI Canon (a16z.com),0
AI Voice Generator: Text to Speech Software (murf.ai),1
"AMD Instinct MI300 Data Center APU – 146B Transistors, Shipping H2’23 (anandtech.com)",0
AMD Zen2 ymm registers rolling back (lkml.org),0
APLcart – Find your way in APL (aplcart.info),0
Aboriginal Australian genomes reveal Indian ancestry (2013) (nature.com),0
Adding design-by-contract conditions to C++ via a GCC plugin (gavinray97.github.io),0
"Advice to Aimless, Excited Programmers (2010) (dadgum.com)",0
"Alexa, what is my wifi password? (dragon863.github.io)",0
An experimental editor for WebGPU compute shaders (compute.toys),0
Anthropic's 100k context is now available in the web UI (twitter.com/jlowin),0
Apartment rents fall as new supply hits market (wsj.com),1
Archive of medieval books and manuscripts discovered in Romanian church (medievalists.net),0
Asahi Linux M1 GPU drivers can now run Windows games via Steam Proton (youtube.com),1
Ask HN: Are there any good open source text-to-speech tools?,1
Ask HN: Concepts that clicked only years after you first encountered them?,1
Ask HN: How do you not take criticism of your work personally?,1
Ask HN: What is new in algorithms and data structures these days?,1
Ask HN: Who is hiring? (February 2023),0
Ask HN: Who is hiring? (June 2023),0
Ask HN: Who is hiring? (March 2023),0
Ask HN: Who is hiring? (May 2023),1
Ask HN: Who wants to be hired? (February 2023),0
Ask HN: Who wants to be hired? (June 2023),1
Ask HN: Who wants to be hired? (May 2023),1
Axle OS (axleos.com),0
"Basic SAT model of x86 instructions using Z3, autogenerated from Intel docs (github.com/zwegner)",1
Bitrex – the brand name of the bitterest substance in the world (bitrex.com),0
Bitwise Division (p5r.org),0
Book review: Barriers to Bioweapons (eukaryotewritesblog.com),0
Brex’s Prompt Engineering Guide (github.com/brexhq),0
C++ Neural Network in a Weekend (2020) (jeremyong.com),1
Calibration Display for NASA (2019) (daliborfarny.com),0
Case study: fake hardware cryptowallet (kaspersky.com),1
Cases where full scans are better than indexes (jefftk.com),0
Casio-F-91W die-shot (zeptobars.com),1
ChatGPT Plus (openai.com),1
ChatGPT simulates 1987 BBS System (sharegpt.com),1
"ChatML: ChatGPT API expects a structured format, called Chat Markup Language (github.com/openai)",1
Chess is booming among teens (polygon.com),1
Choropleth maps with ggplot and R (socviz.co),0
Claude Shannon’s research laid foundations for modern communications (2020) (quantamagazine.org),0
Clocks and Causality – Ordering Events in Distributed Systems (2022) (exhypothesi.com),0
Colorado repealed law limiting municipal internet (coloradosun.com),0
Comb jellies proven to be the sibling group to all other animals (ucsc.edu),0
Combinatory Logic (2020) (stanford.edu),1
Combobulate: Structured Movement and Editing with Tree-Sitter (masteringemacs.org),0
"Come back, c2.com, we still need you (c2.com)",0
Companies to pay $615k in investigation over faked net neutrality comments (apnews.com),0
Competitive programming in Haskell: better binary search (byorgey.wordpress.com),0
Compromised PyTorch-nightly dependency chain between December 25th – December 30 (pytorch.org),0
Concordia students set to launch most powerful rocket developed by civilians (concordia.ca),0
"Contiki – OS for networked, memory-constrained systems (wikipedia.org)",0
Counterintuitive Properties of High Dimensional Space (2018) (marckhoury.github.io),1
Coworkers are less ambitious; bosses adjust to the new order (wsj.com),0
DARPA hacked a science writer’s brain and turned her into a sharpshooter (thebulletin.org),0
DIY Adapter: Using an e-bike battery to run a laptop (transistor-man.com),1
Darvaza Gas Crater (wikipedia.org),0
Data-Free Disneyland (optoutproject.net),1
Deepest fish ever caught on camera off Japan (bbc.co.uk),0
Degenerate matter: How reality deals with uncertainty (azeemba.com),0
"Dell goes back on WFH pledge, forces employees to come back to the office (techradar.com)",1
Deno 1.34: Deno compile supports NPM packages (deno.com),1
"Distcc: A fast, free distributed C/C++ compiler (distcc.org)",0
Distrobox: Use any Linux distribution inside your terminal (github.com/89luca89),1
Do we live in a society without a counterculture? (xmodtwo.com),0
Don Knuth plays with ChatGPT (stanford.edu),1
Early Computer Art in the 50s and 60s (amygoodchild.com),1
Early-life stress can disrupt maturation of brain’s reward circuits (uci.edu),1
Easter egg in flight path of last 747 delivery flight (flightradar24.com),0
"Easy, alternative soft deletion: `deleted_record_insert` (brandur.org)",0
Engineers develop water filtration that removes “forever chemicals” (ubc.ca),0
Entwined African and Asian genetic roots of medieval people of the Swahili coast (nature.com),0
Erlang/OTP: Garbage Collector (medium.com/erlang-battleground),0
Everything you always wanted to know about mathematics (2013) [pdf] (cmu.edu),1
Expensive energy may have killed more Europeans than Covid-19 last winter (economist.com),0
Extending web applications with WebAssembly and Python (wasmlabs.dev),0
"FAA overruled engineers, let Boeing Max keep flying (apnews.com)",0
"FBI Misused Spy Database, FISA Court Says (wsj.com)",0
File Locks on Linux (utoronto.ca),1
Firefox displayed a pop-up ad for Mozilla VPN over an unrelated page (bugzilla.mozilla.org),1
"First clean water, now clean air (finmoorhouse.com)",0
First in-the-wild UEFI bootkit bypassing UEFI Secure Boot (welivesecurity.com),0
Freakwan: A MicroPython driver for the SX1276 LoRa chip (github.com/antirez),0
"GCC 13 Supports New C2x Features, Including Nullptr, Enhanced Enumerations (infoq.com)",0
GNU poke: The extensible editor for structured binary data (jemarch.net),1
Geoffrey Hinton leaves Google and warns of danger ahead (nytimes.com),1
Get started making music (ableton.com),1
Getting Stuff Done by Not Being Mean to Yourself (2010) (openheartproject.com),1
Ggwave: Message people over sound (github.com/ggerganov),0
Gilbert U-238 Atomic Energy Laboratory (wikipedia.org),0
Glen Canyon Revealed (hcn.org),0
"GlitchTip: An open source, Sentry API compatible error tracking platform (gitlab.com/glitchtip)",0
Go 1.20 released (go.dev),0
Godot 4.0 Released (godotengine.org),0
"Google Drive does a surprise rollout of file limits, locking out some users (arstechnica.com)",1
Google I/O 2023 (io.google),1
Google Pixel Fold (store.google.com),1
Gorilla: Large Language Model connected with massive APIs (cs.berkeley.edu),0
GraphGPT: Extrapolating knowledge graphs from unstructured text (github.com/varunshenoy),0
Hacking with Style: TrueType VT220 Font (2009) (sensi.org),0
Heather Armstrong has died (nytimes.com),1
Heathkit (heathkit.com),0
Help make mass surveillance of entire populations uneconomical (prism-break.org),0
Hexatrek: The long distance thru hike in France (hexatrek.com),0
High Performance Browser Networking (hpbn.co),1
Hitler’s Antarctic base: the myth and the reality (2007) [pdf] (histarmar.com.ar),1
How I developed a faster Ruby interpreter (2022) (redhat.com),1
How and why we acquired our .com domain (advaitruia.com),1
How they filmed The Last of Us arcade scene (arcade-museum.com),0
How to Finetune GPT-Like Large Language Models on a Custom Dataset (lightning.ai),1
How we plan to de-extinct the Dodo bird (colossal.com),0
Humanness in the Age of AI (worldcoin.org),1
I did Advent of Code on a Playstation (bvisness.me),1
I wrote a GameBoy emulator for my hobby OS (2022) (axleos.com),1
IPyflow: Reactive Python Notebooks in Jupyter(Lab) (github.com/ipyflow),1
IRS tests free e-filing system that could compete with tax prep giants (washingtonpost.com),0
Iguana: fast SIMD-optimized decompression (sneller.io),0
Implementing a distributed key-value store on top of implementing Raft in Go (eatonphil.com),0
Improving Students’ Learning with Effective Learning Techniques (sagepub.com),0
"In a Sheep to Shawl competition, you have 5 people, 1 sheep, and 3 hours (npr.org)",0
Indirect Prompt Injection on Bing Chat (greshake.github.io),0
"Information Theory, Inference, and Learning Algorithms (2003) (inference.org.uk)",1
Infosec company pwned by 4chan user (crimew.gay),1
Intel Cuts Employee Pay to Maintain Quarterly Dividend (semianalysis.com),1
Introducing ChatGPT and Whisper APIs (openai.com),1
JPMorgan Chase Bank Assumes All the Deposits of First Republic Bank (fdic.gov),0
JavaScript state machines and statecharts (xstate.js.org),0
JobRunr: A library for background processing in Java (jobrunr.io),0
Judge rules Wyoming corner crossers did not trespass (hcn.org),0
KWOK: Kubernetes WithOut Kubelet (kubernetes.dev),0
Krita: A professional free and open source painting program (krita.org),0
LTESniffer – An Open-Source LTE Downlink/Uplink Eavesdropper (github.com/syssec-kaist),0
Language Pragmatics Engineering (borretti.me),0
Launch HN: Clearspace (YC W23) – Cut back on screen time,0
Launch HN: EdgeBit (YC W23) – live software vulnerability analysis,0
Learn Makefiles with the Tastiest Examples (makefiletutorial.com),1
Learn x86-64 assembly by writing a GUI from scratch (2020) (gaultier.github.io),0
Lessons from Creating a VSCode Extension with GPT-4 (kevinslin.com),1
"Linux kernel use-after-free in Netfilter, local privilege escalation (seclists.org)",1
Living sound forever: The genius of Wendy Carlos (xtramagazine.com),0
LobbyFacts – Exposing lobbying in European institutions (lobbyfacts.eu),0
"LokiOS: A new version of CP/M 2.2, written from scratch (vcfed.org)",0
"Lost John Coltrane recording, from experimental phase with Eric Dolphy, emerges (npr.org)",0
Martin Amis has died (theguardian.com),0
Math That Goes on Forever but Never Repeats (quantamagazine.org),1
Memoirs from the old web: The KEYGEN element (devever.net),1
Meta announces its Quest 3 VR headset (theverge.com),1
Millions snap up new Germany-wide public transit ticket (apnews.com),0
Mini brains grown from stem cells developed eye-like features (2021) (smithsonianmag.com),1
Missing radioactive capsule found in WA outback after frantic search (abc.net.au),0
Modeling my Grandpa with 3D Photogrammetry (2021) (jeffgeerling.com),1
More malicious extensions in Chrome Web Store (palant.info),1
Morning exposure to deep red light improves declining eyesight (nature.com),0
Most important papers for quantitative traders (qmr.ai),0
My friends who cheated in interviews are getting promoted (2022) (teamblind.com),0
My solar-powered blog is now on lithium iron phosphate (louwrentius.com),1
NASA validates revolutionary propulsion design for deep space missions (nasa.gov),0
Neanderthal Flute (nms.si),0
New Playground: Memory Spy (jvns.ca),0
Nix journey part 0: Learning and reference materials (tinkering.xyz),0
Nontoxic powder uses sunlight to quickly disinfect contaminated drinking water (stanford.edu),1
Notes apps are where ideas go to die (2022) (reproof.app),1
"Off-grid solar brings light, time and income to remotest villages (apnews.com)",1
OpenAI is now everything it promised not to be: closed-source and for-profit (vice.com),0
OpenAI's Foundry leaked pricing says a lot (cognitiverevolution.substack.com),1
Operation Luigi: How I hacked my friend without her noticing (2017) (pdf.zone),0
Operation Triangulation: iOS devices targeted with previously unknown malware (securelist.com),1
Own-goal football (2022) (generalist.academy),0
"Ozempic drug supresses desire to smoke, drink and more? (theatlantic.com)",0
PaLM 2 Technical Report [pdf] (ai.google),1
Pausing Manifest V2 phase-out changes (groups.google.com),0
"People who die by suicide want to stop suffering, not to stop living (elpais.com)",1
Pixpaint (repl.co),0
Pizza rolls and the meaning of midcentury food (snackstack.net),1
Pop2Piano: Pop audio-based piano cover generation (sweetcocoa.github.io),1
Popular Pirate Bay proxy site disappears from GitHub (torrentfreak.com),1
"Posters of the IPv4 and IPv6 internet as of Jan 1, 2023 (vad.solutions)",1
Practice typing by retyping entire novels (typelit.io),0
PyPI new user and new project registrations temporarily suspended (python.org),1
Rant: Year of Linux on the desktop (liw.fi),1
Raspberry Pi security alarm – the basics (cavelab.dev),1
React Native is not the future (standardnotes.com),0
Reducing Go execution tracer overhead with frame pointer unwinding (felixge.de),0
Release engineering is exhausting so here's cargo-dist (axo.dev),0
Report on an Unidentified Space Station (1982) (uchicago.edu),0
Reverse engineering Dell iDRAC to get rid of GPU throttling (github.com/l4rz),1
"Ripes: Visual computer architecture simulator, assembly code editor for RISC-V (github.com/mortbopet)",0
Rooms.xyz (rooms.xyz),1
SQL:2023 has been released (iso.org),0
SSD as Long Term Storage Testing (htwingnut.com),1
Same.energy: Image Search by Similarity (same.energy),0
Satellite data reveal nearly 20k previously unknown deep-sea mountains (sciencenews.org),0
Second ‘impossible’ ring found around distant dwarf planet (nytimes.com),1
SectorC: A C Compiler in 512 bytes (xorvoid.com),1
Security.txt file now mandatory for Dutch government websites (postsen.com),1
"See this page fetch itself, byte by byte, over TLS (subtls.pages.dev)",1
Show HN: Build progressively enhanced reactive HTML apps using Go and Alpine.js (livefir.fly.dev),0
Show HN: Coursemate – connect with other self learners (coursem8.com),1
Show HN: HN Follow – Follow Your Friends on HN (val.town),1
"Show HN: I made CSS Pro, a re-imagined Devtools for web design (csspro.com)",0
Show HN: Image background removal without annoying subscriptions (pixian.ai),1
Show HN: KnifeGeek – Online Database of Pocket Knives (knifegeek.io),0
Show HN: Nonius Clock (lykahb.com),0
Show HN: Swap.js – a JavaScript micro-framework (HTML fragments over the wire) (github.com/josephernest),1
"Show HN: TunnlTo – Windows WireGuard split tunnel client built with Rust, Tauri (github.com/tunnlto)",1
"Show HN: Use ChatGPT, Bing, Bard and Claude in One App (github.com/chathub-dev)",1
Show HN: Use cookies from Chrome (CDP) in cURL without copy pasting (github.com/fipso),0
Show HN: Visual intuitive explanations of LLM concepts (LLM University),1
Show HN: We built a developer-first open-source Zapier alternative (trigger.dev),0
Show HN: Weekle – a web app to learn how to calculate the day of the week (benjoffe.com),1
Show HN: Willow – Open-source privacy-focused voice assistant hardware (github.com/toverainc),0
Show HN: YouTube Full Text Search – Search all of a channel from the commandline (github.com/notjoemartinez),1
Significant breakthrough in search for Parkinson's biomarker (michaeljfox.org),1
Smalltalk-80 on Raspberry Pi: A bare metal implementation (github.com/michaelengel),1
Sounds emitted by plants under stress are airborne and informative (cell.com),0
SpaceX alums are branching out and shaping the startup economy (satellitetoday.com),1
"SpaceX moves Starship to launch site, and liftoff could be just days away (arstechnica.com)",0
Super Colliding Nix Stores: Nix Flakes for Millions of Developers (replit.com),0
"Tape Storage Trundles On, Increases Yearly Volume to 128 Exabytes (tomshardware.com)",0
Tauri Mobile – Develop Mobile Apps with JavaScript and Rust (studioterabyte.nl),0
Taxonomy of Procrastination (dynomight.net),0
Teddit – An alternative Reddit front-end focused on privacy (codeberg.org),0
Tell HN: The “Y” logo in the top-left corner has been upgraded to SVG (news.ycombinator.com),1
Tell HN: We should start to add “ai.txt” as we do for “robots.txt”,1
Tempus Nectit Knitting Clock (kylerank.in),1
Tether elements to each other with CSS anchor positioning (chrome.com),0
The Contradictions of Sam Altman (wsj.com),1
The Great Ptolemaic Smackdown: From Plausible to Proven (2013) (tofspot.blogspot.com),0
The King doesn't own all the swans in Britain (weirdmedievalguys.substack.com),1
The Leverage of LLMs for Individuals (mazzzystar.github.io),1
The Little Book of Deep Learning [pdf] (fleuret.org),1
The Rise and Fall of Evidence Based Medicine (1998) [pdf] (researchgate.net),0
The State of HTTP in 2022 (cloudflare.com),1
The Wonders of Postgres Logical Decoding Messages (infoq.com),0
The effects of wealth on (Swedish) marriage and fertility (nber.org),0
The internet wants to be fragmented (noahpinion.substack.com),0
The kremvax hoax (1984) (godfatherof.nl),0
The long life of Apache httpd 2.4 (utoronto.ca),1
The smartest slime [video] (youtube.com),0
The tiny corp raised $5.1M (geohot.github.io),1
The unsung hero of the Apple Watch is its hidden buttons (theverge.com),1
The web’s most important decision (thehistoryoftheweb.com),0
The xine hacker's guide (2003) (web.mit.edu),1
This Word Does Not Exist (thisworddoesnotexist.com),1
This blog is hosted on my Android phone (pinggy.io),1
Thorium – A Starship Bridge Simulator (thoriumsim.com),1
"To Pay Rent in Medieval England, Catch Some Eels (atlasobscura.com)",0
Topiary: A code formatting engine leveraging Tree-sitter (tweag.io),0
Tracing Python (koehntopp.info),1
Translating Akkadian clay tablets with ChatGPT? (janromme.com),0
Try Galaxy: A web app to demo Samsung’s OS on an iPhone (trygalaxy.com),1
U.S. universities are building a new semiconductor workforce (ieee.org),0
USB-C done cheap: when 2 ports become 1 (2020) (richardg867.wordpress.com),0
Usenet over NNCP (complete.org),0
Using ChatGPT for home automation (atomic14.com),1
VSCode-WASM: Implement a first version of a WebShell (github.com/microsoft),1
VanJS (Vanilla JavaScript): smallest reactive UI framework (github.com/vanjs-org),0
Vectorization: Introduction (cornell.edu),1
Viable offspring derived from single unfertilized mammalian oocytes (pnas.org),0
"Vice, Decayed Digital Colossus, Files for Bankruptcy (nytimes.com)",0
Virtual DOM is pure overhead (2018) (svelte.dev),0
Visual programming with Elixir: Learning to write binary parsers (2019) (hansonkd.medium.com),0
War Is a Racket (1935) (archive.org),0
Was modern art a CIA psy-op? (2020) (jstor.org),0
We will be shutting down neeva.com (neeva.com),0
What are the enduring innovations of Lisp? (2022) (elliottslaughter.com),0
What broke Sweden? Real estate bust exposes big divide (bloomberg.com),0
What is Chess? What to think and for how long (alexcrompton.com),0
Where Do Great Ideas Come From? (generalist.com),1
Whistleblower drops 100 GB of Tesla secrets to German news site (jalopnik.com),1
Why Not document.write()? (csswizardry.com),1
Why woodpeckers can hammer without getting headaches (2022) (birdwatchingdaily.com),0
Worst interview questions for software developers (fibery.io),1
Writing summaries is more important than reading more books (andreasfragner.com),1
"Writing: Good career move, terrible career (2018) (byrnehobart.medium.com)",0
"Xerox Star 8010 Interfaces, high quality polaroids (1981-) (digibarn.com)",0
"Xfinity Stream on Linux: A Tale of Widevine, ChromeOS, and a patched Glibc (thebrokenrail.com)",0
You and Your Research (1986) (virginia.edu),1
You can't optimize for rest (2021) (theconvivialsociety.substack.com),1
You cannot have exactly-once delivery (2015) (bravenewgeek.com),0
YouTube tests blocking videos unless you disable ad blockers (bleepingcomputer.com),0
Yurt Calculator (simplydifferently.org),1
Zig is hard but worth it (ratfactor.com),1
random(random(random(random()))) (openprocessing.org),1
"“Clean” code, horrible performance (computerenhance.com)",1
“Internet in space” will transform the satellite imagery industry (joemorrison.substack.com),1
"“My PGP key is compromised, and at least many of my bitcoins stolen” (twitter.com/lukedashjr)",1
